experiment,run,pipeline,stage,node_type,node_num,ip,gpu,module,start_time,end_time,loading_time,time_from_ray_start
10_iterations,6,1,0,g6_12xlarge,1,192.168.0.226,3,tensorstore,1761567908.353119,1761567930.4497635,22.096644639968872,25.636345148086548
10_iterations,6,1,1,g6_12xlarge,2,192.168.0.195,0,tensorstore,1761567909.0321858,1761567929.9364455,20.90425968170166,25.123027086257935
10_iterations,6,1,1,g6_12xlarge,2,192.168.0.195,1,tensorstore,1761567909.2556417,1761567929.3116508,20.05600905418396,24.49823236465454
10_iterations,6,1,1,g6_12xlarge,2,192.168.0.195,2,tensorstore,1761567909.823686,1761567928.9398596,19.11617374420166,24.12644124031067
10_iterations,6,1,1,g6_12xlarge,2,192.168.0.195,3,tensorstore,1761567910.2186673,1761567929.8970728,19.67840552330017,25.083654403686523
10_iterations,6,1,2,g6_12xlarge,3,192.168.0.127,0,tensorstore,1761567911.0413692,1761567933.3853505,22.34398126602173,28.571932077407837
10_iterations,6,1,2,g6_12xlarge,3,192.168.0.127,1,tensorstore,1761567911.2624,1761567931.3300126,20.067612648010254,26.516594171524048
10_iterations,6,1,2,g6_12xlarge,3,192.168.0.127,2,tensorstore,1761567911.7623024,1761567934.0122938,22.249991416931152,29.198875427246094
10_iterations,6,1,2,g6_12xlarge,3,192.168.0.127,3,tensorstore,1761567912.2456045,1761567932.590088,20.344483375549316,27.7766695022583
10_iterations,6,1,3,g6e_xlarge,1,192.168.0.36,0,tensorstore,1761567912.937425,1761567954.6833103,41.745885372161865,49.86989188194275
10_iterations,6,1,4,g6e_xlarge,2,192.168.0.143,0,tensorstore,1761567913.3909779,1761567964.4803643,51.08938646316528,59.666945934295654
10_iterations,7,1,0,g6_12xlarge,1,192.168.0.226,all,apiserver,1761568127.8587236,1761568183.9701881,56.111464500427246,69.25048160552979
10_iterations,7,1,0,g6_12xlarge,1,192.168.0.226,0,tensorstore,1761568116.4366093,1761568138.3022745,21.865665197372437,23.582567930221558
10_iterations,7,1,0,g6_12xlarge,1,192.168.0.226,1,tensorstore,1761568116.9254625,1761568137.9592266,21.033764123916626,23.23952007293701
10_iterations,7,1,0,g6_12xlarge,1,192.168.0.226,2,tensorstore,1761568117.4771202,1761568140.0986557,22.621535539627075,25.37894916534424
10_iterations,7,1,0,g6_12xlarge,1,192.168.0.226,3,tensorstore,1761568118.2155511,1761568139.6183066,21.40275549888611,24.898600101470947
10_iterations,7,1,1,g6_12xlarge,2,192.168.0.195,0,tensorstore,1761568118.8429942,1761568140.641648,21.798653841018677,25.92194151878357
10_iterations,7,1,1,g6_12xlarge,2,192.168.0.195,1,tensorstore,1761568119.1070795,1761568141.5022867,22.395207166671753,26.782580137252808
10_iterations,7,1,1,g6_12xlarge,2,192.168.0.195,2,tensorstore,1761568119.5969093,1761568142.7771015,23.180192232131958,28.057394981384277
10_iterations,7,1,1,g6_12xlarge,2,192.168.0.195,3,tensorstore,1761568120.0659513,1761568141.168689,21.10273766517639,26.44898247718811
10_iterations,7,1,2,g6_12xlarge,3,192.168.0.127,0,tensorstore,1761568120.8534791,1761568141.7092662,20.8557870388031,26.989559650421143
10_iterations,7,1,2,g6_12xlarge,3,192.168.0.127,1,tensorstore,1761568121.1332746,1761568141.9240527,20.790778160095215,27.204346179962158
10_iterations,7,1,2,g6_12xlarge,3,192.168.0.127,2,tensorstore,1761568121.6023533,1761568141.2891388,19.686785459518433,26.569432258605957
10_iterations,7,1,2,g6_12xlarge,3,192.168.0.127,3,tensorstore,1761568122.1131024,1761568141.7255769,19.61247444152832,27.00587034225464
10_iterations,7,1,3,g6e_xlarge,1,192.168.0.36,0,tensorstore,1761568122.768371,1761568169.346094,46.577722787857056,54.62638735771179
10_iterations,7,1,4,g6e_xlarge,2,192.168.0.143,0,tensorstore,1761568123.2381427,1761568174.211995,50.97385215759277,59.49228835105896
10_iterations,8,1,0,g6_12xlarge,1,192.168.0.226,all,apiserver,1761568228.8005354,1761568284.9292107,56.12867522239685,68.8585319519043
10_iterations,8,1,0,g6_12xlarge,1,192.168.0.226,0,tensorstore,1761568217.7715726,1761568240.949004,23.177431344985962,24.87832522392273
10_iterations,8,1,0,g6_12xlarge,1,192.168.0.226,1,tensorstore,1761568218.2843957,1761568242.8416893,24.55729365348816,26.771010637283325
10_iterations,8,1,0,g6_12xlarge,1,192.168.0.226,2,tensorstore,1761568218.8137217,1761568241.8286028,23.014881134033203,25.75792407989502
10_iterations,8,1,0,g6_12xlarge,1,192.168.0.226,3,tensorstore,1761568219.3739572,1761568241.7052963,22.331339120864868,25.634617567062378
10_iterations,8,1,1,g6_12xlarge,2,192.168.0.195,0,tensorstore,1761568220.0512238,1761568241.722695,21.67147135734558,25.652016401290894
10_iterations,8,1,1,g6_12xlarge,2,192.168.0.195,1,tensorstore,1761568220.309727,1761568242.3452048,22.035477876663208,26.274526119232178
10_iterations,8,1,1,g6_12xlarge,2,192.168.0.195,2,tensorstore,1761568220.7827003,1761568242.0190358,21.236335515975952,25.948357105255127
10_iterations,8,1,1,g6_12xlarge,2,192.168.0.195,3,tensorstore,1761568221.3846877,1761568243.2802215,21.895533800125122,27.209542751312256
10_iterations,8,1,2,g6_12xlarge,3,192.168.0.127,0,tensorstore,1761568222.0978448,1761568242.5789068,20.481061935424805,26.508228063583374
10_iterations,8,1,2,g6_12xlarge,3,192.168.0.127,1,tensorstore,1761568222.3616004,1761568243.763342,21.40174150466919,27.692663192749023
10_iterations,8,1,2,g6_12xlarge,3,192.168.0.127,2,tensorstore,1761568222.8620365,1761568244.0811195,21.219083070755005,28.010440826416016
10_iterations,8,1,2,g6_12xlarge,3,192.168.0.127,3,tensorstore,1761568223.3112075,1761568242.8617692,19.550561666488647,26.791090488433838
10_iterations,8,1,3,g6e_xlarge,1,192.168.0.36,0,tensorstore,1761568223.9928303,1761568275.2901516,51.29732131958008,59.219472885131836
10_iterations,8,1,4,g6e_xlarge,2,192.168.0.143,0,tensorstore,1761568224.4326515,1761568276.1540692,51.72141766548157,60.08339047431946
10_iterations,9,1,0,g6_12xlarge,1,192.168.0.226,all,apiserver,1761568436.227588,1761568492.3651884,56.13760042190552,68.89469361305237
10_iterations,9,1,0,g6_12xlarge,1,192.168.0.226,0,tensorstore,1761568425.2180238,1761568447.0145535,21.79652976989746,23.544058799743652
10_iterations,9,1,0,g6_12xlarge,1,192.168.0.226,1,tensorstore,1761568425.690815,1761568449.4876738,23.79685878753662,26.017179012298584
10_iterations,9,1,0,g6_12xlarge,1,192.168.0.226,2,tensorstore,1761568426.1964202,1761568447.7102785,21.513858318328857,24.239783763885498
10_iterations,9,1,0,g6_12xlarge,1,192.168.0.226,3,tensorstore,1761568426.71154,1761568448.23901,21.527470111846924,24.76851534843445
10_iterations,9,1,1,g6_12xlarge,2,192.168.0.195,0,tensorstore,1761568427.478312,1761568448.8538115,21.375499486923218,25.3833167552948
10_iterations,9,1,1,g6_12xlarge,2,192.168.0.195,1,tensorstore,1761568427.7846959,1761568448.2119834,20.427287578582764,24.741488695144653
10_iterations,9,1,1,g6_12xlarge,2,192.168.0.195,2,tensorstore,1761568428.2144988,1761568448.8109183,20.5964195728302,25.340423583984375
10_iterations,9,1,1,g6_12xlarge,2,192.168.0.195,3,tensorstore,1761568428.7147117,1761568449.0849307,20.370218992233276,25.61443591117859
10_iterations,9,1,2,g6_12xlarge,3,192.168.0.127,0,tensorstore,1761568429.4808798,1761568451.6377752,22.156895399093628,28.167280435562134
10_iterations,9,1,2,g6_12xlarge,3,192.168.0.127,1,tensorstore,1761568429.7769105,1761568451.558875,21.781964540481567,28.088380336761475
10_iterations,9,1,2,g6_12xlarge,3,192.168.0.127,2,tensorstore,1761568430.201994,1761568453.3262093,23.124215364456177,29.855714559555054
10_iterations,9,1,2,g6_12xlarge,3,192.168.0.127,3,tensorstore,1761568430.6860383,1761568453.0155797,22.329541444778442,29.545084953308105
10_iterations,9,1,3,g6e_xlarge,1,192.168.0.36,0,tensorstore,1761568431.3953907,1761568479.709184,48.31379318237305,56.23868918418884
10_iterations,9,1,4,g6e_xlarge,2,192.168.0.143,0,tensorstore,1761568431.8336248,1761568484.474875,52.641250133514404,61.004380226135254
10_iterations,10,1,0,g6_12xlarge,1,192.168.0.226,all,apiserver,1761568543.1236665,1761568599.7096994,56.58603286743164,69.56565952301025
10_iterations,10,1,0,g6_12xlarge,1,192.168.0.226,0,tensorstore,1761568531.8869157,1761568553.9205203,22.033604621887207,23.776480436325073
10_iterations,10,1,0,g6_12xlarge,1,192.168.0.226,1,tensorstore,1761568532.3581824,1761568555.1451452,22.786962747573853,25.001105308532715
