TIMESTAMP,ContextTokens,GeneratedTokens
2024-01-01 00:43:28.915236,3563,20
2024-01-01 00:43:29.052671,8399,3
2024-01-01 00:43:29.265859,7276,3
2024-01-01 00:43:29.392724,6445,3
2024-01-01 00:43:29.837072,6331,404
2024-01-01 00:43:29.870120,6814,3
2024-01-01 00:43:30.041938,25160,487
2024-01-01 00:43:30.064537,6181,29
2024-01-01 00:43:30.106824,12988,377
2024-01-01 00:43:30.136721,3128,32
2024-01-01 00:43:30.173654,6559,3
2024-01-01 00:43:30.373271,18262,391
2024-01-01 00:43:30.494668,4937,624
2024-01-01 00:43:30.796330,45291,265
2024-01-01 00:43:31.074257,13744,298
2024-01-01 00:43:31.454371,7310,3
2024-01-01 00:43:31.746564,6915,3
2024-01-01 00:43:31.861986,3225,14
2024-01-01 00:43:31.870142,3629,640
2024-01-01 00:43:31.995258,24805,107
2024-01-01 00:43:32.236975,5855,99
2024-01-01 00:43:32.295622,17553,464
2024-01-01 00:43:32.395710,7276,3
2024-01-01 00:43:32.492425,7406,3
2024-01-01 00:43:32.515912,4181,150
2024-01-01 00:43:32.736457,6768,27
2024-01-01 00:43:32.918138,8269,476
2024-01-01 00:43:33.049385,73468,456
2024-01-01 00:43:33.118612,5627,621
2024-01-01 00:43:33.138930,11909,431
2024-01-01 00:43:33.283489,20164,222
2024-01-01 00:43:33.422374,3832,342
2024-01-01 00:43:33.434817,32218,494
2024-01-01 00:43:33.440707,7276,3
2024-01-01 00:43:33.835841,904,374
2024-01-01 00:43:33.862780,6721,3
2024-01-01 00:43:34.049591,1723,902
2024-01-01 00:43:34.155255,13755,630
2024-01-01 00:43:34.362704,6645,3
2024-01-01 00:43:34.529575,3073,17
2024-01-01 00:43:34.624935,6586,27
2024-01-01 00:43:34.682407,2653,167
2024-01-01 00:43:35.079903,6470,25
2024-01-01 00:43:35.093500,6403,3
2024-01-01 00:43:35.203943,3300,20
2024-01-01 00:43:35.260443,6995,3
2024-01-01 00:43:35.385452,48263,474
2024-01-01 00:43:35.592878,63407,707
2024-01-01 00:43:35.891981,2527,443
2024-01-01 00:43:35.984128,6658,46
2024-01-01 00:43:36.049893,8359,293
2024-01-01 00:43:36.426346,5732,428
2024-01-01 00:43:36.509679,11688,689
2024-01-01 00:43:36.601696,5266,195
2024-01-01 00:43:36.746846,8957,419
2024-01-01 00:43:36.877286,6205,3
2024-01-01 00:43:36.888474,7115,27
2024-01-01 00:43:36.977460,7917,247
2024-01-01 00:43:37.210007,7440,3
2024-01-01 00:43:37.346640,3101,20
2024-01-01 00:43:37.445100,6871,293
2024-01-01 00:43:37.701836,6837,3
2024-01-01 00:43:38.425859,14824,279
2024-01-01 00:43:38.484305,4239,24
2024-01-01 00:43:38.642203,11811,432
2024-01-01 00:43:38.776294,6446,3
2024-01-01 00:43:38.948051,6184,3
2024-01-01 00:43:38.983760,32854,599
2024-01-01 00:43:39.059751,7117,3
2024-01-01 00:43:39.205698,4973,18
2024-01-01 00:43:39.278003,7015,30
2024-01-01 00:43:39.290258,4771,601
2024-01-01 00:43:39.639482,16384,356
2024-01-01 00:43:39.835621,7276,3
2024-01-01 00:43:39.859571,1238,312
2024-01-01 00:43:39.939380,13278,138
2024-01-01 00:43:40.084281,6989,26
2024-01-01 00:43:40.125332,6638,491
2024-01-01 00:43:40.225171,3172,19
2024-01-01 00:43:40.269331,3253,27
2024-01-01 00:43:40.464331,6470,26
2024-01-01 00:43:40.546303,7684,3
2024-01-01 00:43:40.564299,7801,3
2024-01-01 00:43:40.643362,8222,3
2024-01-01 00:43:41.045724,12999,556
2024-01-01 00:43:41.156622,4083,17
2024-01-01 00:43:41.231049,4162,16
2024-01-01 00:43:41.371287,1175,18
2024-01-01 00:43:41.395255,7029,3
2024-01-01 00:43:41.476504,16416,248
2024-01-01 00:43:41.606967,4703,22
2024-01-01 00:43:41.675713,14108,292
2024-01-01 00:43:41.759523,15373,591
2024-01-01 00:43:41.809165,10223,361
2024-01-01 00:43:42.009474,9434,164
2024-01-01 00:43:42.128756,2020,311
2024-01-01 00:43:42.196566,15038,286
2024-01-01 00:43:42.212155,3111,22
